start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,max_heartrate,average_heartrate,average_cadence,calories,icu_average_watts,icu_normalized_watts,icu_joules,icu_training_load,pace,icu_fatigue,icu_fitness,icu_eftp,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight
2022-10-24T17:16:54,Afternoon Ride,Ride,754,4035.1,917,14,9.391,5.352,131,99,,95,,,,4,5.3515916,46.528683,60.79675,245,701,0,0,0,0,0,0,,,,,,,,,66
2022-10-24T09:12:00,Morning Ride,Ride,776,3950.6,952,34,7.415,5.091,147,109,,118,,,,6,5.0909796,46.528683,60.79675,245,630,126,0,0,0,0,0,,,,,,,,,66
2022-10-23T19:24:51,Evening Ride,VirtualRide,3003,26195.1,3003,104,13.092,8.723,144,130,83.16878,429,150,155,449672,33,8.722977,52.13821,62.02071,245,1256,1747,0,0,0,0,0,781,2201,21,0,0,0,0,0,66
2022-10-22T20:28:21,Zwift - New Workout in Watopia,VirtualRide,3925,34798.5,4119,171,14.31,8.866,155,138,84.184105,578,154,162,604615,48,8.86586,55.077168,62.71997,245,948,2355,612,9,0,0,0,933,2451,536,4,0,0,0,23,66
2022-10-20T17:47:39,Afternoon Ride,Ride,691,4078.2,726,10,9.7,5.902,101,84,,52,,,,2,5.901881,64.788795,64.59445,246,669,0,0,0,0,0,0,,,,,,,,,66
2022-10-20T15:03:55,Afternoon Ride,Ride,911,4057.2,941,38,9.888,4.454,122,98,,99,,,,4,4.4535675,64.788795,64.59445,246,890,0,0,0,0,0,0,,,,,,,,,66
2022-10-19T15:38:41,Afternoon Ride,Ride,4769,38475.3,4819,452,20.178,8.068,176,141,87.188896,895,165,195,785255,84,8.067792,73.816696,66.0063,246,1344,1447,1032,794,35,88,29,1394,1367,1152,507,203,114,32,797,66
2022-10-19T10:55:06,Morning Ride,Ride,711,4025.4,752,13,9.308,5.662,121,95,,78,,,,3,5.6616035,73.816696,66.0063,246,681,0,0,0,0,0,0,,,,,,,,,66
2022-10-19T09:08:47,Morning Ride,Ride,862,4087.9,939,41,10.762,4.742,131,97,,92,,,,4,4.7423434,73.816696,66.0063,246,835,0,0,0,0,0,0,,,,,,,,,66
2022-10-18T15:33:16,Afternoon Ride,Ride,6882,44038.7,7023,935,21.245,6.399,172,133,83.41897,1174,148,202,1020177,129,6.3991137,71.17794,65.404076,246,3124,1558,861,1164,93,53,0,2792,1451,1061,757,454,183,147,767,66
2022-10-18T12:55:10,Lunch Ride,Ride,623,4011.7,655,15,9.763,6.439,155,115,,98,,,,5,6.439326,71.17794,65.404076,246,493,83,36,3,0,0,0,,,,,,,,,66
2022-10-18T11:47:00,Lunch Ride,Ride,776,4036.9,844,44,9.627,5.202,127,100,,91,,,,4,5.2021904,71.17794,65.404076,246,768,0,0,0,0,0,0,,,,,,,,,66
2022-10-17T20:04:02,Zwift - Double Trouble on Innsbruckring in Watopia,VirtualRide,2430,20122.6,2430,83,12.608,8.281,143,125,77.42869,320,138,151,334886,26,8.280905,60.91641,63.654858,246,1827,600,0,0,0,0,0,1366,532,525,4,0,0,0,23,66
2022-10-17T17:32:56,Afternoon Ride,Ride,740,4001.4,891,14,8.716,5.407,137,101,,82,,,,4,5.407297,60.91641,63.654858,246,720,6,0,0,0,0,0,,,,,,,,,66
2022-10-17T09:11:03,Morning Ride,Ride,805,4052.8,918,35,9.524,5.035,126,99,,99,,,,4,5.0345345,60.91641,63.654858,246,790,0,0,0,0,0,0,,,,,,,,,66
2022-10-16T15:38:51,Afternoon Ride,Ride,5825,50139.8,6243,369,15.362,8.608,171,141,90.41761,1149,172,194,1012032,101,8.607691,65.04983,64.3694,246,958,3534,1043,207,14,15,0,979,1880,2101,514,182,86,29,1180,66
