id,FTP,Seg1_1,Seg1,pwr_20min,pwr_60min,pwr_10min,pwr_90min,bikeweight_kg,age_under40,gender,attempt_date,act_title,Has_HeartRate,first_bikeCPU_brand,second_CPU_brand
1,2.5550817,2178.676525,4814.717855,2.858493733,2.678565131,2.767217908,2.343758844,6.845737294,1,0,2022-04-16,Afternoon Ride,1,Other,Wahoo
2,2.940390355,3186.855993,4485.513375,2.757946556,2.68926135,2.985446162,2.315690577,8.834892254,0,1,2021-10-26,Morning Ride,1,Other,Garmin
3,4.067177965,2321.373681,3268.385745,3.567525644,3.633545439,4.331513953,2.928766868,9.447714603,1,1,2022-05-21,?????????? ?????????? ???????? winking face flexed biceps man biking Morning Ride,0,Wahoo,Wahoo
4,3.487384349,1945.347055,2996.500791,3.450228466,3.495240977,3.23500296,2.669819587,7.536234246,0,0,2021-06-18,Morning Ride,1,Wahoo,Garmin
5,2.777371664,3010.963172,4654.045453,2.472622478,2.740056256,3.711842555,2.359337235,9.689940242,1,1,2021-11-18,Evening Speeders Group Ride,1,Other,Wahoo
6,3.051811701,2773.904392,4424.62051,2.782813372,2.165405121,2.795124603,2.445886066,9.934981941,1,0,2022-09-21,Evening Ride,0,Bryton,Wahoo
7,4.047151396,2472.665372,3969.575758,4.16860649,3.738146427,4.562416575,3.050139074,9.547106625,0,1,2021-07-22,Morning Ride,0,Garmin,Wahoo
8,3.757359587,2542.93384,4266.328636,3.767144341,3.660840531,5.046073032,2.675816034,8.014347936,1,0,2022-05-26,Evening Ride,1,Other,Garmin
9,4.354231195,2681.935833,4041.304972,4.049805951,3.711756951,4.727932843,2.372617551,10.6155551,0,0,2021-04-23,Night Ride,1,Bryton,Not using
10,4.019300493,2256.389264,3869.855941,4.235046305,3.685382263,4.500536997,2.608231344,10.23436189,0,0,2022-01-04,Night Ride,1,Wahoo,Garmin
11,4.467719192,1733.296188,3808.48225,4.268030132,3.282464365,5.044412283,2.729683065,10.60262125,0,1,2021-10-09,Morning Ride,1,Wahoo,Garmin
12,2.683680506,2892.052878,5310.284837,3.475142526,2.217788935,3.691476384,2.270592135,9.149697328,1,1,2022-05-30,???????? ?????? ???????????? ?????? ?? ????????????,1,Not using,Not using
13,5.678857768,1807.48763,3714.520874,4.405891511,3.572107797,4.382199314,2.876951706,13.72274046,0,0,2022-08-28,Evening Ride,1,Wahoo,Wahoo
14,3.44718722,2276.666473,4236.276396,3.260176456,3.168136238,3.196183349,2.690952719,7.341260783,1,0,2022-01-31,Morning Ride,1,Other,Wahoo
15,4.044638459,2424.589491,3549.574231,3.886514885,3.722845397,4.074153723,3.679080943,12.00990266,1,0,2022-07-02,Night Ride,1,Garmin,Not using
16,4.752168478,1719.855404,4120.032222,4.435973321,3.482164923,5.026270339,2.47936277,7.432812632,0,1,2022-02-08,Evening Ride,1,Garmin,Garmin
17,2.609198701,3737.609772,4508.63511,1.974116374,1.596217428,2.385723131,2.428731498,8.997158658,1,1,2021-06-26,Evening Ride,1,Other,Garmin
18,3.721523863,1905.193917,3925.972118,4.153398765,4.069144966,4.352543854,2.592313696,7.335486366,0,0,2021-07-13,Evening Ride,1,Wahoo,Not using
19,4.870659434,1739.10015,4387.927797,4.405026858,3.497390847,5.329230005,2.292303506,8.750891502,0,1,2022-05-16,Evening Ride,1,Garmin,Not using
20,3.773718691,2666.395962,4090.36291,3.700803176,2.920793797,4.042890171,2.412579086,11.02778957,0,0,2021-10-29,Evening Ride,1,Wahoo,Wahoo
21,2.531237312,3774.84105,4440.76194,2.391977605,2.694854711,2.90219134,2.686141081,7.188190131,1,1,2022-06-23,Evening ride,1,Not using,Not using
22,3.909186432,2398.802905,4141.742837,3.553713,3.228479814,4.302058533,2.801264622,7.264583813,0,0,2022-08-22,Evening Ride,1,Garmin,Wahoo
23,3.884039288,2660.439668,4597.332497,3.353782965,2.903748823,3.734016211,2.643170499,10.1634217,0,1,2020-11-26,?????? ???????? ???????? winking face with tongue ,1,Bryton,Wahoo
24,3.269616954,3190.953218,4297.651063,3.336038288,3.160411064,3.873670009,2.612532891,7.59549686,1,1,2022-09-23,Evening Ride,0,Other,Garmin
