TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF OCT 07, 2013 (B)",Adidas : Sneakers Men,580.4,0,580.4,0,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",Adidas : Soccer Apparel & Shoes,74.7,0,74.7,0,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",Adidas CrazyQuick : Sneakers Men,10.5,0,10.5,0,0,0,0,0,0,0,0
"WEEK OF OCT 07, 2013 (B)",ADIDAS FACTORY OUTLET : Family,10.1,0,0,0,0,0,0,0,0,10.1,0
"WEEK OF OCT 07, 2013 (B)",Adidas Shoe Store : Men & Women,0.7,0,0,0,0,0,0,0.7,0,0,0
"WEEK OF OCT 07, 2013 (B)",Adidas Tent Sale : Sponsored Event,26.5,0,0,0,0,0,0,26.5,0,0,0
"WEEK OF OCT 07, 2013 (B)",USA Today Sports Hoopshype/Adidas : Sponsored Event,77.9,0,0,0,0,0,77.9,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Adidas : Sneakers Men,924.9,180,744.9,0,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",Adidas : Soccer Apparel & Shoes,89.7,42,47.7,0,0,0,0,0,0,0,0
"WEEK OF OCT 14, 2013 (B)",ADIDAS FACTORY OUTLET : Family,10.1,0,0,0,0,0,0,0,0,10.1,0
"WEEK OF OCT 14, 2013 (B)",Adidas Warehouse : Men & Women,5.6,0,0,0,0,0,0,5.6,0,0,0
"WEEK OF OCT 21, 2013 (B)",Adidas : Apparel,3.1,0,0,0,0,0,0,3.1,0,0,0
"WEEK OF OCT 21, 2013 (B)",Adidas : Athleticwear & Sneakers Men,5.9,0,5.9,0,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Adidas : Sneakers Men,745.8,195,550.8,0,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",Adidas : Soccer Apparel & Shoes,142.5,105,37.5,0,0,0,0,0,0,0,0
"WEEK OF OCT 21, 2013 (B)",ADIDAS FACTORY OUTLET : Family,10.1,0,0,0,0,0,0,0,0,10.1,0
"WEEK OF OCT 21, 2013 (B)",Adidas Outlet Store : Apparel Retailer,6.2,0,0,0,0,0,0,6.2,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas : Apparel & Snowboard Equipment,47,0,0,0,47,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas : Athleticwear & Sneakers Men,10.6,0,10.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas : Footwear & RTW Men & Women,6,0,0,0,0,0,0,0,0,0,6
"WEEK OF OCT 28, 2013 (B)",Adidas : Sneakers Men,1420,132,1288,0,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas : Soccer Apparel & Shoes,125.2,63,62.2,0,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas : Sportswear Men & Women,2.5,0,0,0,0,0,0,0,0,0,2.5
"WEEK OF OCT 28, 2013 (B)",Adidas : Vignette,0.9,0,0,0.9,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas Adi-Ease Eldridge : Sneakers Men,51.6,0,0,0,51.6,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas Adizero : Sneakers Men,5.6,0,5.6,0,0,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",ADIDAS AMERICA STORE,1.3,0,0,0,0,0,0,0,0,1.3,0
"WEEK OF OCT 28, 2013 (B)",Adidas Boost : Sneakers Men & Women,141.5,0,0,0,141.5,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas Drose 4 : Sneakers Men,474.9,0,0,0,474.9,0,0,0,0,0,0
"WEEK OF OCT 28, 2013 (B)",ADIDAS FACTORY OUTLET : Family,10.2,0,0,0,0,0,0,0,0,10.2,0
"WEEK OF OCT 28, 2013 (B)",Adidas Outlet Store : Apparel Retailer,4.6,0,0,0,0,0,0,4.6,0,0,0
"WEEK OF OCT 28, 2013 (B)",Adidas Shoe Store : Men & Women,2.3,0,0,0,0,0,0,0,0,0,2.3
"WEEK OF NOV 04, 2013 (B)",Adidas : Athleticwear & Sneakers Men,6,0,6,0,0,0,0,0,0,0,0
"WEEK OF NOV 04, 2013 (B)",Adidas : Sneakers Men,769.5,0,769.5,0,0,0,0,0,0,0,0
