Category: All categories

Week,adidas: (United States)
2013-10-13,18
2013-10-20,19
2013-10-27,18
2013-11-03,21
2013-11-10,20
2013-11-17,21
2013-11-24,27
2013-12-01,28
2013-12-08,22
2013-12-15,24
2013-12-22,22
2013-12-29,18
2014-01-05,17
2014-01-12,18
2014-01-19,19
2014-01-26,18
2014-02-02,17
2014-02-09,19
2014-02-16,23
2014-02-23,24
2014-03-02,23
2014-03-09,21
2014-03-16,24
2014-03-23,25
2014-03-30,22
2014-04-06,22
2014-04-13,21
2014-04-20,21
2014-04-27,21
2014-05-04,19
2014-05-11,20
2014-05-18,19
2014-05-25,21
2014-06-01,20
2014-06-08,23
2014-06-15,24
2014-06-22,25
2014-06-29,25
2014-07-06,24
2014-07-13,27
2014-07-20,25
2014-07-27,25
2014-08-03,25
2014-08-10,24
2014-08-17,23
2014-08-24,25
2014-08-31,22
2014-09-07,21
2014-09-14,21
2014-09-21,19
2014-09-28,19
2014-10-05,20
2014-10-12,18
2014-10-19,23
2014-10-26,21
2014-11-02,23
2014-11-09,23
2014-11-16,24
2014-11-23,28
2014-11-30,29
2014-12-07,28
2014-12-14,28
2014-12-21,27
2014-12-28,23
2015-01-04,20
2015-01-11,21
2015-01-18,23
2015-01-25,22
2015-02-01,23
2015-02-08,38
2015-02-15,39
2015-02-22,30
2015-03-01,29
2015-03-08,28
2015-03-15,26
2015-03-22,28
2015-03-29,28
2015-04-05,30
2015-04-12,31
2015-04-19,28
2015-04-26,26
2015-05-03,24
2015-05-10,27
2015-05-17,28
2015-05-24,28
2015-05-31,28
2015-06-07,27
2015-06-14,27
2015-06-21,33
2015-06-28,28
2015-07-05,29
2015-07-12,30
2015-07-19,32
2015-07-26,33
2015-08-02,37
2015-08-09,38
2015-08-16,41
2015-08-23,36
2015-08-30,32
2015-09-06,34
2015-09-13,33
2015-09-20,31
2015-09-27,31
2015-10-04,32
2015-10-11,30
2015-10-18,30
2015-10-25,32
2015-11-01,35
2015-11-08,37
2015-11-15,35
2015-11-22,46
2015-11-29,45
2015-12-06,45
2015-12-13,51
2015-12-20,52
2015-12-27,50
2016-01-03,46
2016-01-10,43
2016-01-17,46
2016-01-24,43
2016-01-31,48
2016-02-07,51
2016-02-14,69
2016-02-21,57
2016-02-28,56
2016-03-06,54
2016-03-13,60
2016-03-20,58
2016-03-27,56
2016-04-03,52
2016-04-10,55
2016-04-17,51
2016-04-24,49
2016-05-01,48
2016-05-08,46
2016-05-15,52
2016-05-22,47
2016-05-29,49
2016-06-05,61
2016-06-12,51
2016-06-19,50
2016-06-26,53
2016-07-03,52
2016-07-10,53
2016-07-17,56
2016-07-24,59
2016-07-31,65
2016-08-07,63
2016-08-14,62
2016-08-21,61
2016-08-28,60
2016-09-04,56
2016-09-11,54
2016-09-18,62
2016-09-25,62
2016-10-02,54
2016-10-09,60
2016-10-16,59
2016-10-23,55
2016-10-30,53
2016-11-06,57
2016-11-13,66
2016-11-20,100
2016-11-27,88
2016-12-04,82
2016-12-11,83
2016-12-18,80
2016-12-25,77
2017-01-01,63
2017-01-08,62
2017-01-15,63
2017-01-22,61
2017-01-29,64
2017-02-05,65
2017-02-12,64
2017-02-19,75
2017-02-26,72
2017-03-05,71
2017-03-12,65
2017-03-19,68
2017-03-26,61
2017-04-02,67
2017-04-09,67
2017-04-16,60
2017-04-23,65
2017-04-30,58
2017-05-07,54
2017-05-14,55
2017-05-21,53
2017-05-28,58
2017-06-04,58
2017-06-11,56
2017-06-18,69
2017-06-25,56
2017-07-02,59
2017-07-09,58
2017-07-16,60
2017-07-23,67
2017-07-30,71
2017-08-06,78
2017-08-13,75
2017-08-20,61
2017-08-27,66
2017-09-03,58
2017-09-10,53
2017-09-17,55
2017-09-24,56
2017-10-01,54
2017-10-08,55
2017-10-15,56
2017-10-22,56
2017-10-29,50
2017-11-05,59
2017-11-12,67
2017-11-19,100
2017-11-26,89
2017-12-03,76
2017-12-10,88
2017-12-17,81
2017-12-24,81
2017-12-31,61
2018-01-07,55
2018-01-14,58
2018-01-21,55
2018-01-28,56
2018-02-04,54
2018-02-11,57
2018-02-18,64
2018-02-25,62
2018-03-04,64
2018-03-11,61
2018-03-18,56
2018-03-25,57
2018-04-01,55
2018-04-08,56
2018-04-15,55
2018-04-22,59
2018-04-29,48
2018-05-06,48
2018-05-13,45
2018-05-20,46
2018-05-27,49
2018-06-03,46
2018-06-10,53
2018-06-17,51
2018-06-24,55
2018-07-01,54
2018-07-08,54
2018-07-15,56
2018-07-22,60
2018-07-29,62
2018-08-05,65
2018-08-12,61
2018-08-19,56
2018-08-26,50
2018-09-02,57
2018-09-09,52
2018-09-16,61
2018-09-23,56
2018-09-30,50
